Id,Start (s),End (s),Scientific name,Common name,Confidence
1,0,3,Turdus merula,Amsel,0.0961
2,0,3,Erithacus rubecula,Rotkehlchen,0.0416
3,0,3,Turdus philomelos,Singdrossel,0.0303
4,0,3,Corvus corone,Rabenkrähe,0.0279
5,0,3,Accipiter gentilis,Habicht,0.0211
6,0,3,Picus viridis,Grünspecht,0.0188
7,0,3,Oriolus oriolus,Pirol,0.0175
8,0,3,Phylloscopus sibilatrix,Waldlaubsänger,0.017
9,0,3,Strix aluco,Waldkauz,0.014
10,0,3,Dendrocopos major,Buntspecht,0.0124
11,0,3,Columba oenas,Hohltaube,0.0117
12,0,3,Anser anser,Graugans,0.0103
13,0,3,Phasianus colchicus,Jagdfasan,0.01
14,3,6,Turdus merula,Amsel,0.1537
15,3,6,Scolopax rusticola,Waldschnepfe,0.1421
16,3,6,Corvus corone,Rabenkrähe,0.0456
17,3,6,Accipiter gentilis,Habicht,0.0449
18,3,6,Turdus philomelos,Singdrossel,0.0442
19,3,6,Oriolus oriolus,Pirol,0.0425
20,3,6,Columba palumbus,Ringeltaube,0.0359
21,3,6,Dendrocopos major,Buntspecht,0.0351
22,3,6,Dryobates minor,Kleinspecht,0.0197
23,3,6,Phylloscopus sibilatrix,Waldlaubsänger,0.0157
24,3,6,Hirundo rustica,Rauchschwalbe,0.0135
25,3,6,Dendrocoptes medius,Mittelspecht,0.0133
26,3,6,Botaurus stellaris,Rohrdommel,0.0113
27,3,6,Erithacus rubecula,Rotkehlchen,0.0111
28,3,6,Anser anser,Graugans,0.0107
29,3,6,Hippolais icterina,Gelbspötter,0.0107
30,3,6,Columba oenas,Hohltaube,0.0103
31,6,9,Turdus merula,Amsel,0.156
32,6,9,Corvus corone,Rabenkrähe,0.1017
33,6,9,Oriolus oriolus,Pirol,0.0439
34,6,9,Accipiter gentilis,Habicht,0.0395
35,6,9,Erithacus rubecula,Rotkehlchen,0.0227
36,6,9,Phylloscopus trochilus,Fitis,0.0167
37,6,9,Picus viridis,Grünspecht,0.0159
38,6,9,Anser anser,Graugans,0.0159
39,6,9,Dendrocopos major,Buntspecht,0.0146
40,6,9,Turdus philomelos,Singdrossel,0.0142
41,6,9,Scolopax rusticola,Waldschnepfe,0.0139
42,6,9,Certhia familiaris,Waldbaumläufer,0.0125
43,6,9,Dryobates minor,Kleinspecht,0.0101
44,9,12,Turdus merula,Amsel,0.1682
45,9,12,Corvus corone,Rabenkrähe,0.0755
46,9,12,Turdus philomelos,Singdrossel,0.0566
47,9,12,Scolopax rusticola,Waldschnepfe,0.0543
48,9,12,Columba oenas,Hohltaube,0.0471
49,9,12,Buteo buteo,Mäusebussard,0.0373
50,9,12,Anser anser,Graugans,0.0352
51,9,12,Oriolus oriolus,Pirol,0.0332
52,9,12,Picus viridis,Grünspecht,0.0308
53,9,12,Accipiter gentilis,Habicht,0.0274
54,9,12,Columba palumbus,Ringeltaube,0.0242
55,9,12,Dendrocopos major,Buntspecht,0.0238
56,9,12,Dendrocoptes medius,Mittelspecht,0.0227
57,9,12,Botaurus stellaris,Rohrdommel,0.0219
58,9,12,Phylloscopus sibilatrix,Waldlaubsänger,0.0204
59,9,12,Milvus migrans,Schwarzmilan,0.0175
60,9,12,Sylvia atricapilla,Mönchsgrasmücke,0.0133
61,9,12,Dryobates minor,Kleinspecht,0.013
62,9,12,Corvus frugilegus,Saatkrähe,0.013
63,9,12,Prunella modularis,Heckenbraunelle,0.0128
64,9,12,Erithacus rubecula,Rotkehlchen,0.0122
65,12,15,Turdus merula,Amsel,0.5646
66,12,15,Turdus philomelos,Singdrossel,0.1989
67,12,15,Erithacus rubecula,Rotkehlchen,0.0983
68,12,15,Scolopax rusticola,Waldschnepfe,0.0567
69,12,15,Corvus corone,Rabenkrähe,0.0504
70,12,15,Anser anser,Graugans,0.0414
71,12,15,Picus viridis,Grünspecht,0.0403
72,12,15,Dendrocopos major,Buntspecht,0.0276
73,12,15,Turdus viscivorus,Misteldrossel,0.0254
74,12,15,Strix aluco,Waldkauz,0.0246
75,12,15,Accipiter gentilis,Habicht,0.0181
76,12,15,Buteo buteo,Mäusebussard,0.0161
77,12,15,Oriolus oriolus,Pirol,0.0153
78,12,15,Dryocopus martius,Schwarzspecht,0.0139
79,12,15,Phasianus colchicus,Jagdfasan,0.0103
80,12,15,Columba oenas,Hohltaube,0.0103
81,15,18,Turdus merula,Amsel,0.4005
82,15,18,Corvus corone,Rabenkrähe,0.1011
83,15,18,Anser anser,Graugans,0.0894
84,15,18,Accipiter gentilis,Habicht,0.0701
85,15,18,Turdus philomelos,Singdrossel,0.0687
86,15,18,Buteo buteo,Mäusebussard,0.0424
87,15,18,Scolopax rusticola,Waldschnepfe,0.0421
88,15,18,Columba oenas,Hohltaube,0.036
89,15,18,Oriolus oriolus,Pirol,0.0311
90,15,18,Phasianus colchicus,Jagdfasan,0.0252
91,15,18,Erithacus rubecula,Rotkehlchen,0.025
92,15,18,Dendrocopos major,Buntspecht,0.022
93,15,18,Turdus viscivorus,Misteldrossel,0.021
94,15,18,Phylloscopus sibilatrix,Waldlaubsänger,0.0189
95,15,18,Milvus milvus,Rotmilan,0.0164
96,15,18,Columba palumbus,Ringeltaube,0.0156
97,15,18,Botaurus stellaris,Rohrdommel,0.0141
98,15,18,Picus viridis,Grünspecht,0.0129
99,15,18,Dendrocoptes medius,Mittelspecht,0.0122
100,15,18,Corvus monedula,Dohle,0.01
101,18,21,Turdus merula,Amsel,0.2524
102,18,21,Accipiter gentilis,Habicht,0.1374
103,18,21,Phylloscopus sibilatrix,Waldlaubsänger,0.1185
104,18,21,Oriolus oriolus,Pirol,0.1041
105,18,21,Poecile palustris,Sumpfmeise,0.0813
106,18,21,Turdus philomelos,Singdrossel,0.0371
107,18,21,Columba oenas,Hohltaube,0.0264
108,18,21,Dendrocopos major,Buntspecht,0.0239
109,18,21,Sylvia atricapilla,Mönchsgrasmücke,0.0231
110,18,21,Erithacus rubecula,Rotkehlchen,0.0226
111,18,21,Muscicapa striata,Grauschnäpper,0.0186
112,18,21,Dendrocoptes medius,Mittelspecht,0.0172
113,18,21,Columba palumbus,Ringeltaube,0.0153
114,18,21,Fringilla coelebs,Buchfink,0.0145
115,18,21,Cyanistes caeruleus,Blaumeise,0.0138
116,18,21,Coccothraustes coccothraustes,Kernbeißer,0.013
117,18,21,Picus viridis,Grünspecht,0.011
118,18,21,Certhia familiaris,Waldbaumläufer,0.0102
119,21,24,Turdus merula,Amsel,0.536
120,21,24,Scolopax rusticola,Waldschnepfe,0.152
121,21,24,Accipiter gentilis,Habicht,0.1316
122,21,24,Phylloscopus sibilatrix,Waldlaubsänger,0.1047
123,21,24,Turdus philomelos,Singdrossel,0.0424
124,21,24,Corvus corone,Rabenkrähe,0.041
125,21,24,Columba oenas,Hohltaube,0.0398
126,21,24,Botaurus stellaris,Rohrdommel,0.0362
127,21,24,Dendrocoptes medius,Mittelspecht,0.0274
128,21,24,Buteo buteo,Mäusebussard,0.0264
129,21,24,Erithacus rubecula,Rotkehlchen,0.0222
130,21,24,Strix aluco,Waldkauz,0.0216
131,21,24,Dendrocopos major,Buntspecht,0.018
132,21,24,Oriolus oriolus,Pirol,0.0172
133,21,24,Vanellus vanellus,Kiebitz,0.0156
134,21,24,Corvus monedula,Dohle,0.0133
135,21,24,Turdus viscivorus,Misteldrossel,0.0125
136,21,24,Dryobates minor,Kleinspecht,0.0115
137,21,24,Certhia familiaris,Waldbaumläufer,0.0112
138,21,24,Picus viridis,Grünspecht,0.011
139,24,27,Oriolus oriolus,Pirol,0.6323
140,24,27,Turdus merula,Amsel,0.5272
141,24,27,Corvus corone,Rabenkrähe,0.0272
142,24,27,Accipiter gentilis,Habicht,0.0183
143,24,27,Anser anser,Graugans,0.0167
144,24,27,Sylvia atricapilla,Mönchsgrasmücke,0.0135
145,24,27,Picus viridis,Grünspecht,0.0109
146,24,27,Milvus migrans,Schwarzmilan,0.0104
147,27,30,Turdus merula,Amsel,0.2031
148,27,30,Accipiter gentilis,Habicht,0.0677
149,27,30,Picus viridis,Grünspecht,0.0556
150,27,30,Turdus philomelos,Singdrossel,0.0418
151,27,30,Columba oenas,Hohltaube,0.027
152,27,30,Dendrocoptes medius,Mittelspecht,0.0257
153,27,30,Anser anser,Graugans,0.0218
154,27,30,Columba palumbus,Ringeltaube,0.018
155,27,30,Milvus migrans,Schwarzmilan,0.018
156,27,30,Oriolus oriolus,Pirol,0.0162
157,27,30,Dryobates minor,Kleinspecht,0.0155
158,27,30,Corvus corone,Rabenkrähe,0.0151
159,27,30,Dendrocopos major,Buntspecht,0.0149
160,27,30,Dryocopus martius,Schwarzspecht,0.0146
161,27,30,Erithacus rubecula,Rotkehlchen,0.0132
162,27,30,Cyanistes caeruleus,Blaumeise,0.0125
163,27,30,Phylloscopus sibilatrix,Waldlaubsänger,0.0124
164,27,30,Phasianus colchicus,Jagdfasan,0.0122
165,30,33,Turdus merula,Amsel,0.4115
166,30,33,Accipiter gentilis,Habicht,0.0635
167,30,33,Dendrocoptes medius,Mittelspecht,0.0528
168,30,33,Turdus philomelos,Singdrossel,0.0526
169,30,33,Columba palumbus,Ringeltaube,0.0428
170,30,33,Scolopax rusticola,Waldschnepfe,0.0329
171,30,33,Erithacus rubecula,Rotkehlchen,0.0207
172,30,33,Dryocopus martius,Schwarzspecht,0.0176
173,30,33,Turdus viscivorus,Misteldrossel,0.0172
174,30,33,Corvus corone,Rabenkrähe,0.0162
175,30,33,Dendrocopos major,Buntspecht,0.0156
176,30,33,Oriolus oriolus,Pirol,0.0144
177,30,33,Columba oenas,Hohltaube,0.014
178,30,33,Buteo buteo,Mäusebussard,0.0127
179,30,33,Dryobates minor,Kleinspecht,0.0113
180,30,33,Picus viridis,Grünspecht,0.0113
181,30,33,Strix aluco,Waldkauz,0.0108
182,33,36,Turdus merula,Amsel,0.4835
