Start (s),End (s),Scientific name,Common name,Confidence
0,3.0,Fringilla coelebs,Buchfink,0.3183
0,3.0,Phylloscopus sibilatrix,Waldlaubsänger,0.0481
0,3.0,Erithacus rubecula,Rotkehlchen,0.0415
0,3.0,Corvus corone,Rabenkrähe,0.0378
0,3.0,Turdus merula,Amsel,0.0357
0,3.0,Oriolus oriolus,Pirol,0.0238
0,3.0,Phylloscopus collybita,Zilpzalp,0.0215
0,3.0,Phylloscopus trochilus,Fitis,0.0214
0,3.0,Sylvia atricapilla,Mönchsgrasmücke,0.0212
0,3.0,Turdus philomelos,Singdrossel,0.0208
0,3.0,Columba oenas,Hohltaube,0.0189
0,3.0,Prunella modularis,Heckenbraunelle,0.0177
0,3.0,Dendrocoptes medius,Mittelspecht,0.0169
0,3.0,Certhia familiaris,Waldbaumläufer,0.0145
0,3.0,Dendrocopos major,Buntspecht,0.0128
0,3.0,Picus viridis,Grünspecht,0.0120
0,3.0,Ficedula hypoleuca,Trauerschnäpper,0.0119
0,3.0,Accipiter gentilis,Habicht,0.0118
3.0,6.0,Turdus merula,Amsel,0.1638
3.0,6.0,Oriolus oriolus,Pirol,0.0597
3.0,6.0,Phylloscopus sibilatrix,Waldlaubsänger,0.0576
3.0,6.0,Accipiter gentilis,Habicht,0.0405
3.0,6.0,Buteo buteo,Mäusebussard,0.0403
3.0,6.0,Columba palumbus,Ringeltaube,0.0286
3.0,6.0,Anser anser,Graugans,0.0210
3.0,6.0,Streptopelia turtur,Turteltaube,0.0179
3.0,6.0,Columba oenas,Hohltaube,0.0175
3.0,6.0,Phasianus colchicus,Jagdfasan,0.0140
3.0,6.0,Dryocopus martius,Schwarzspecht,0.0133
3.0,6.0,Turdus philomelos,Singdrossel,0.0132
3.0,6.0,Dendrocoptes medius,Mittelspecht,0.0119
3.0,6.0,Corvus corone,Rabenkrähe,0.0114
3.0,6.0,Picus viridis,Grünspecht,0.0107
3.0,6.0,Turdus viscivorus,Misteldrossel,0.0102
3.0,6.0,Regulus ignicapilla,Sommergoldhähnchen,0.0101
6.0,9.0,Oriolus oriolus,Pirol,0.0511
6.0,9.0,Phylloscopus sibilatrix,Waldlaubsänger,0.0442
6.0,9.0,Buteo buteo,Mäusebussard,0.0360
6.0,9.0,Dryocopus martius,Schwarzspecht,0.0357
6.0,9.0,Muscicapa striata,Grauschnäpper,0.0350
6.0,9.0,Fringilla coelebs,Buchfink,0.0319
6.0,9.0,Certhia familiaris,Waldbaumläufer,0.0254
6.0,9.0,Phoenicurus phoenicurus,Gartenrotschwanz,0.0234
6.0,9.0,Jynx torquilla,Wendehals,0.0188
6.0,9.0,Phylloscopus collybita,Zilpzalp,0.0187
6.0,9.0,Sylvia borin,Gartengrasmücke,0.0186
6.0,9.0,Accipiter gentilis,Habicht,0.0184
6.0,9.0,Dendrocoptes medius,Mittelspecht,0.0178
6.0,9.0,Erithacus rubecula,Rotkehlchen,0.0172
6.0,9.0,Columba palumbus,Ringeltaube,0.0170
6.0,9.0,Anthus trivialis,Baumpieper,0.0131
6.0,9.0,Phasianus colchicus,Jagdfasan,0.0114
6.0,9.0,Dryobates minor,Kleinspecht,0.0108
6.0,9.0,Prunella modularis,Heckenbraunelle,0.0100
9.0,12.0,Corvus corone,Rabenkrähe,0.0958
9.0,12.0,Fringilla coelebs,Buchfink,0.0722
9.0,12.0,Oriolus oriolus,Pirol,0.0527
9.0,12.0,Turdus merula,Amsel,0.0526
9.0,12.0,Anser anser,Graugans,0.0434
9.0,12.0,Phasianus colchicus,Jagdfasan,0.0350
9.0,12.0,Columba oenas,Hohltaube,0.0347
9.0,12.0,Muscicapa striata,Grauschnäpper,0.0281
9.0,12.0,Accipiter gentilis,Habicht,0.0212
9.0,12.0,Phylloscopus sibilatrix,Waldlaubsänger,0.0202
9.0,12.0,Columba palumbus,Ringeltaube,0.0198
9.0,12.0,Dendrocoptes medius,Mittelspecht,0.0149
9.0,12.0,Botaurus stellaris,Rohrdommel,0.0148
9.0,12.0,Dryocopus martius,Schwarzspecht,0.0143
9.0,12.0,Turdus viscivorus,Misteldrossel,0.0133
9.0,12.0,Prunella modularis,Heckenbraunelle,0.0124
9.0,12.0,Picus viridis,Grünspecht,0.0124
9.0,12.0,Phylloscopus trochilus,Fitis,0.0123
9.0,12.0,Sylvia borin,Gartengrasmücke,0.0121
9.0,12.0,Turdus philomelos,Singdrossel,0.0120
9.0,12.0,Perdix perdix,Rebhuhn,0.0118
9.0,12.0,Buteo buteo,Mäusebussard,0.0106
9.0,12.0,Ficedula hypoleuca,Trauerschnäpper,0.0100
9.0,12.0,Turdus torquatus,Ringdrossel,0.0100
12.0,15.0,Anser anser,Graugans,0.0951
12.0,15.0,Sylvia atricapilla,Mönchsgrasmücke,0.0617
12.0,15.0,Oriolus oriolus,Pirol,0.0476
12.0,15.0,Mergus merganser,Gänsesäger,0.0398
