Start (s),End (s),Scientific name,Common name,Confidence
0,3.0,Anser anser,Graugans,0.1087
0,3.0,Erithacus rubecula,Rotkehlchen,0.0675
0,3.0,Ardea cinerea,Graureiher,0.0508
0,3.0,Cyanistes caeruleus,Blaumeise,0.0403
0,3.0,Ciconia ciconia,Weißstorch,0.0351
0,3.0,Phylloscopus sibilatrix,Waldlaubsänger,0.0316
0,3.0,Anas platyrhynchos,Stockente,0.0297
0,3.0,Fringilla coelebs,Buchfink,0.0230
0,3.0,Dendrocoptes medius,Mittelspecht,0.0227
0,3.0,Cygnus olor,Höckerschwan,0.0215
0,3.0,Picus viridis,Grünspecht,0.0201
0,3.0,Turdus viscivorus,Misteldrossel,0.0146
0,3.0,Corvus corone,Rabenkrähe,0.0131
0,3.0,Dryobates minor,Kleinspecht,0.0126
0,3.0,Cettia cetti,Seidensänger,0.0120
0,3.0,Pica pica,Elster,0.0117
0,3.0,Curruca curruca,Klappergrasmücke,0.0116
0,3.0,Poecile palustris,Sumpfmeise,0.0110
3.0,6.0,Scolopax rusticola,Waldschnepfe,0.1013
3.0,6.0,Erithacus rubecula,Rotkehlchen,0.0979
3.0,6.0,Ciconia ciconia,Weißstorch,0.0579
3.0,6.0,Anser anser,Graugans,0.0364
3.0,6.0,Cygnus olor,Höckerschwan,0.0352
3.0,6.0,Turdus philomelos,Singdrossel,0.0232
3.0,6.0,Mergus merganser,Gänsesäger,0.0210
3.0,6.0,Oriolus oriolus,Pirol,0.0207
3.0,6.0,Sturnus vulgaris,Star,0.0159
3.0,6.0,Dryobates minor,Kleinspecht,0.0131
3.0,6.0,Cyanistes caeruleus,Blaumeise,0.0129
3.0,6.0,Curruca curruca,Klappergrasmücke,0.0125
3.0,6.0,Picus viridis,Grünspecht,0.0124
3.0,6.0,Corvus corax,Kolkrabe,0.0112
3.0,6.0,Streptopelia decaocto,Türkentaube,0.0111
3.0,6.0,Botaurus stellaris,Rohrdommel,0.0110
3.0,6.0,Phylloscopus sibilatrix,Waldlaubsänger,0.0105
6.0,9.0,Cyanistes caeruleus,Blaumeise,0.5563
6.0,9.0,Sturnus vulgaris,Star,0.0995
6.0,9.0,Cygnus olor,Höckerschwan,0.0698
6.0,9.0,Dendrocoptes medius,Mittelspecht,0.0489
6.0,9.0,Ciconia ciconia,Weißstorch,0.0444
6.0,9.0,Fringilla montifringilla,Bergfink,0.0386
6.0,9.0,Oriolus oriolus,Pirol,0.0368
6.0,9.0,Garrulus glandarius,Eichelhäher,0.0361
6.0,9.0,Anser anser,Graugans,0.0353
6.0,9.0,Ardea cinerea,Graureiher,0.0352
6.0,9.0,Picus viridis,Grünspecht,0.0248
6.0,9.0,Fulica atra,Blässhuhn,0.0231
6.0,9.0,Gallinula chloropus,Teichhuhn,0.0226
6.0,9.0,Dryobates minor,Kleinspecht,0.0212
6.0,9.0,Buteo buteo,Mäusebussard,0.0182
6.0,9.0,Dendrocopos major,Buntspecht,0.0165
6.0,9.0,Phasianus colchicus,Jagdfasan,0.0148
6.0,9.0,Poecile montanus,Weidenmeise,0.0147
6.0,9.0,Certhia familiaris,Waldbaumläufer,0.0144
6.0,9.0,Jynx torquilla,Wendehals,0.0125
6.0,9.0,Streptopelia decaocto,Türkentaube,0.0117
6.0,9.0,Botaurus stellaris,Rohrdommel,0.0113
6.0,9.0,Accipiter nisus,Sperber,0.0112
6.0,9.0,Alcedo atthis,Eisvogel,0.0105
6.0,9.0,Certhia brachydactyla,Gartenbaumläufer,0.0102
6.0,9.0,Ficedula hypoleuca,Trauerschnäpper,0.0102
6.0,9.0,Columba livia,Felsentaube,0.0100
9.0,12.0,Cyanistes caeruleus,Blaumeise,0.0623
9.0,12.0,Phylloscopus sibilatrix,Waldlaubsänger,0.0354
9.0,12.0,Dendrocoptes medius,Mittelspecht,0.0277
9.0,12.0,Fringilla coelebs,Buchfink,0.0257
9.0,12.0,Phoenicurus phoenicurus,Gartenrotschwanz,0.0212
9.0,12.0,Oriolus oriolus,Pirol,0.0183
9.0,12.0,Ficedula hypoleuca,Trauerschnäpper,0.0182
9.0,12.0,Cygnus olor,Höckerschwan,0.0179
9.0,12.0,Sturnus vulgaris,Star,0.0174
9.0,12.0,Picus viridis,Grünspecht,0.0170
9.0,12.0,Jynx torquilla,Wendehals,0.0156
9.0,12.0,Hirundo rustica,Rauchschwalbe,0.0138
9.0,12.0,Dendrocopos major,Buntspecht,0.0123
9.0,12.0,Lanius collurio,Neuntöter,0.0114
9.0,12.0,Mergus merganser,Gänsesäger,0.0110
9.0,12.0,Phasianus colchicus,Jagdfasan,0.0106
9.0,12.0,Certhia brachydactyla,Gartenbaumläufer,0.0102
9.0,12.0,Sitta europaea,Kleiber,0.0102
12.0,15.0,Phoenicurus ochruros,Hausrotschwanz,0.0280
12.0,15.0,Prunella modularis,Heckenbraunelle,0.0220
12.0,15.0,Phasianus colchicus,Jagdfasan,0.0164
12.0,15.0,Erithacus rubecula,Rotkehlchen,0.0148
12.0,15.0,Turdus pilaris,Wacholderdrossel,0.0115
12.0,15.0,Luscinia svecica,Blaukehlchen,0.0114
18.0,21.0,Hirundo rustica,Rauchschwalbe,0.0112
27.0,30.0,Fringilla coelebs,Buchfink,0.2268
27.0,30.0,Phylloscopus trochilus,Fitis,0.0743
27.0,30.0,Jynx torquilla,Wendehals,0.0407
27.0,30.0,Emberiza citrinella,Goldammer,0.0238
27.0,30.0,Luscinia megarhynchos,Nachtigall,0.0208
27.0,30.0,Phylloscopus sibilatrix,Waldlaubsänger,0.0186
27.0,30.0,Turdus iliacus,Rotdrossel,0.0170
27.0,30.0,Phoenicurus phoenicurus,Gartenrotschwanz,0.0137
27.0,30.0,Columba palumbus,Ringeltaube,0.0121
27.0,30.0,Lullula arborea,Heidelerche,0.0119
27.0,30.0,Chloris chloris,Grünfink,0.0110
30.0,33.0,Erithacus rubecula,Rotkehlchen,0.0536
30.0,33.0,Fringilla coelebs,Buchfink,0.0377
30.0,33.0,Phylloscopus sibilatrix,Waldlaubsänger,0.0263
30.0,33.0,Dryocopus martius,Schwarzspecht,0.0221
30.0,33.0,Dendrocopos major,Buntspecht,0.0217
30.0,33.0,Picus viridis,Grünspecht,0.0176
30.0,33.0,Cyanistes caeruleus,Blaumeise,0.0126
30.0,33.0,Cygnus olor,Höckerschwan,0.0107
33.0,36.0,Cyanistes caeruleus,Blaumeise,0.3744
33.0,36.0,Phylloscopus sibilatrix,Waldlaubsänger,0.0828
33.0,36.0,Dendrocopos major,Buntspecht,0.0553
33.0,36.0,Dendrocoptes medius,Mittelspecht,0.0551
33.0,36.0,Certhia familiaris,Waldbaumläufer,0.0267
33.0,36.0,Dryocopus martius,Schwarzspecht,0.0257
